"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000099204",848.585060946676,1.38044830709702,0.130482382106551,10.5889026986353,3.3550153321662e-26,3.71427287456711e-24
"ENSG00000197043",14120.9989647215,0.909536556510335,0.0858967270862826,10.5890378597766,3.35017497850086e-26,3.71427287456711e-24
"ENSG00000127954",286.384119280247,3.59410466681573,0.333194349497916,10.5604185429671,4.54630170772791e-26,5.00205442213224e-24
"ENSG00000148120",743.999875010981,1.082400035809,0.102596481441237,10.5513507316424,5.00720122395501e-26,5.47535917888185e-24
"ENSG00000112773",516.800784800124,-1.17016569173063,0.111074871812224,-10.5341681006815,6.01124079111999e-26,6.53319243054407e-24
"ENSG00000126878",93.2605268616648,-2.39458177763073,0.222842958181239,-10.5275393520383,6.44984533960738e-26,6.96739656564617e-24
"ENSG00000091527",4870.59143202752,0.758514682064781,0.0720960644067843,10.5204349688079,6.95517496608335e-26,7.46801437322106e-24
"ENSG00000169738",627.449246972015,1.96292623614662,0.186493894489722,10.4871206706011,9.89993875139188e-26,1.05662579823239e-23
"ENSG00000035664",633.042902717231,1.59120626395501,0.153875859937117,10.4356095900676,1.70515755480318e-25,1.80909096766737e-23
"ENSG00000023909",1927.71101011188,1.19429533422289,0.114299264698435,10.4333000503704,1.74712878925471e-25,1.8426522804542e-23
"ENSG00000125848",178.654450436053,-2.22269860584304,0.21411690116918,-10.4225870290051,1.9556014398224e-25,2.05039059196438e-23
"ENSG00000110900",262.805275325959,-1.41145655398483,0.13542071099807,-10.4184034323947,2.04354764421495e-25,2.12702488223708e-23
"ENSG00000131446",5362.00674215496,0.854775643866373,0.0820632709581992,10.4179848430126,2.05255991777816e-25,2.12702488223708e-23
"ENSG00000138073",1697.49198137076,1.08040853935331,0.103847379273068,10.3948033528786,2.61826461272692e-25,2.69756927498524e-23
"ENSG00000163697",2266.27450187641,1.05969448351258,0.102049728060725,10.3840221456317,2.93157982376767e-25,3.00301602177213e-23
"ENSG00000164742",353.799478277241,-2.24012386318585,0.220423257241188,-10.3636728116534,3.62759206464785e-25,3.69475434058762e-23
"ENSG00000174136",2831.70301250684,-0.953779574085211,0.0921332866067975,-10.3585413773266,3.8275421492328e-25,3.87625632204122e-23
"ENSG00000120837",1841.38811314411,1.01666961429081,0.098260343408598,10.3517841624145,4.10758731023106e-25,4.13636362811065e-23
"ENSG00000164292",14399.5505965512,1.02824963105118,0.0995265383735031,10.3303981613576,5.13470036542147e-25,5.14162355692541e-23
"ENSG00000132356",2383.87708318029,0.856664954534354,0.0829549468663542,10.3274627029919,5.29424689394054e-25,5.27176852724001e-23
"ENSG00000183044",498.690421563468,1.13143223063525,0.109797290646183,10.3008201759272,6.98630785723106e-25,6.91799729151592e-23
"ENSG00000152580",5992.50455672065,-1.13031874041276,0.110044451149724,-10.2677196279072,9.85055281218292e-25,9.70034548753306e-23
"ENSG00000102554",149.552913663167,2.25965020334905,0.217150197596765,10.2438945714413,1.26057572213764e-24,1.23453305886711e-22
"ENSG00000172061",231.277302725498,-2.19308752690553,0.217982987043338,-10.242371774305,1.28057950075497e-24,1.24727043833096e-22
"ENSG00000173221",1983.22155774674,0.986633071385659,0.0964027828338624,10.2400206528968,1.31208358740091e-24,1.27100966640401e-22
"ENSG00000013297",3431.57264316715,-1.67271232595739,0.164581220641996,-10.2268422376472,1.50341786435209e-24,1.44848216293036e-22
"ENSG00000164070",591.684378009254,-1.27960515250568,0.125536336122469,-10.2132515126747,1.7296938467418e-24,1.65753027550139e-22
"ENSG00000099194",785.211998028092,-1.85994840284874,0.18233931824876,-10.2052372775921,1.87861409350543e-24,1.79061056698614e-22
"ENSG00000152601",5822.54908478731,0.851405045031891,0.0836162676976109,10.1818453326633,2.38985734680909e-24,2.26578815688964e-22
"ENSG00000008311",721.942089206498,1.07384141335172,0.105475742259737,10.1743330864994,2.58162349240257e-24,2.43464852532188e-22
"ENSG00000237697",126.794572516762,1.88288761826846,0.184640706725926,10.1580575676659,3.05094058080733e-24,2.86210341643736e-22
"ENSG00000173068",2793.38464596547,-0.857642688552794,0.0846606459479562,-10.1273108117493,4.17986826444345e-24,3.90062680342618e-22
"ENSG00000126950",786.116082755273,-1.61418826631479,0.160728932538805,-10.100582018154,5.49152926353428e-24,5.09796966631433e-22
"ENSG00000170624",2121.08039267073,-1.11466012769184,0.110133797884824,-10.09284050929,5.9424584781386e-24,5.48799895929235e-22
"ENSG00000103502",3319.86908904901,0.813535215378661,0.0807423838277073,10.0758635123161,7.06375554023231e-24,6.48991643036601e-22
"ENSG00000088756",685.723239064796,-1.55158998514293,0.155881983936737,-10.066999867675,7.73000856996198e-24,7.06562424364115e-22
"ENSG00000177614",133.150339732154,-2.27159689059566,0.226050485488252,-10.0435861029421,9.80435626600435e-24,8.91596153496232e-22
"ENSG00000164484",816.794097566618,-1.17617816616171,0.117318752592424,-10.0192347447605,1.25470649969386e-23,1.13522277413926e-21
"ENSG00000118689",5165.48667934315,1.22585151612098,0.12240298029901,10.0094914904634,1.38462396075151e-23,1.24644128668863e-21
"ENSG00000128510",164.045430457896,-2.05776440215724,0.203953763129295,-10.0082724407135,1.4017891677891e-23,1.25555226767201e-21
"ENSG00000081052",207.134642684968,1.79694679354347,0.178863064215134,9.98447177193331,1.78247926487723e-23,1.58854552085859e-21
"ENSG00000181061",2420.90428250501,1.17064669707211,0.117225979564192,9.98130023822827,1.84039076172026e-23,1.63199626551751e-21
"ENSG00000127824",228.718631937045,-1.49159167919223,0.149687452214994,-9.96228261947177,2.22885550695732e-23,1.966689136436e-21
"ENSG00000198431",22734.553343842,1.44558103718219,0.144755738594868,9.95761481672665,2.33599741069337e-23,2.05107477084722e-21
"ENSG00000173517",7990.51234665395,0.972605305949566,0.0976542966966387,9.95681038984703,2.35497012414971e-23,2.05759742611982e-21
"ENSG00000113580",2811.33538556594,-0.965255424332696,0.0968952492610513,-9.95347034922703,2.43539185852005e-23,2.11748412128104e-21
"ENSG00000132970",1322.81532016482,1.083460307115,0.108912868526538,9.95066009816416,2.50515953157513e-23,2.16757104324249e-21
"ENSG00000167992",251.543797733559,-1.45815128491437,0.147187918422922,-9.90853741382024,3.82200030532896e-23,3.29098229189292e-21
"ENSG00000136436",3129.16074209745,1.11002470415438,0.111986650773255,9.90390607146507,4.00326978085376e-23,3.43049425836238e-21
"ENSG00000179820",3784.35383489187,1.43734958674274,0.145361212817929,9.89866743894343,4.2185838031722e-23,3.59770515348045e-21
"ENSG00000134253",136.921586068676,-1.83069358563193,0.184043946967193,-9.89248741956826,4.48736968843392e-23,3.80870844412601e-21
"ENSG00000134318",4538.36898283538,0.799043947077663,0.0807693509955874,9.8914465243677,4.53428039732266e-23,3.81221763216411e-21
"ENSG00000143891",528.391197527252,-1.09163825439227,0.110340436483723,-9.89145109936903,4.53407315412396e-23,3.81221763216411e-21
"ENSG00000106123",2287.85834096414,1.34869455582412,0.137597492297171,9.8643375543804,5.94254035889545e-23,4.97276241112453e-21
"ENSG00000003402",2546.61419680864,1.15944956462347,0.117659655343187,9.85883085997002,6.27760731296806e-23,5.22860153020293e-21
"ENSG00000137962",4500.60695160733,1.13050490037345,0.114626923441689,9.83808380110653,7.71665288601589e-23,6.39728469955104e-21
